H-H	Acer rubrum	Red Maple	2479	234523	3.2
H-M	Carpinus caroliniana	American hornbeam	125	8383	3
H-M	Pinus resinosa	Red Pine	84	6009	4
H-M	Populus tremuloides	Quaking Aspen	56	4372	5
H-M	Quercus macrocarpa	Bur Oak	286	59307	3.4
H-L	Fraxinus nigra	Black ash	4	464	4
H-L	Populus grandidentata	Bigtooth Aspen	4	847	3.4
H-L	Tsuga canadensis	Eastern Hemlock	14	458	4.2
M-H	Acer platanoides	Norway Maple	9653	123120	2.8
M-H	Celtis occidentalis	Hackberry	832	118656	2.2
M-M	Acer saccharum	Sugar Maple	629	75644	2.6
M-M	Fraxinus americana	White ash	584	77012	2.2
M-M	Fraxinus pennsylvanica	Green ash	576	63310	2.6
M-M	Juglans cinerea	Butternut	9	1594	2.8
M-M	Liquidambar stryaciflua	Sweetgum	213	16866	2.6
M-M	Salix nigra	Black Willow	39	5281	2.6
M-M	Pinus strobus	White Pine	155	5912	2.6
M-M	Picea abies	Norway Spruce	171	12733	2.8
M-M	Pinus sylvestris	Scotch Pine	55	3718	2.8
M-M	Quercus coccinea	Scarlet Oak	26	2704	2.2
M-M	Prunus serotina	Black Cherry 	49	2747	2.2
M-L	Fagus grandifolia	American Beech	1	80	2.6
M-L	Prunus virginiana	Chokecherry	26	645	2.8
M-L	Quercus muehlenbergii	Chinkapin Oak	4	514	2.2
M-L	Quercus phellos	Willow Oak	1	96	2.2
M-L	Quercus prinus	Chestnut Oak	5	604	2.6
L-H	Acer saccharinum	Silver Maple	4608	826663	1.4
L-H	Gleditsia triacanthos	Honey Locust	1570	194292	0.8
L-H	Quercus rubra	Northern Red Oak	1207	105767	0.6
L-M	Acer negundo	Boxelder	119	14837	1.4
L-M	Amelanchier spp.	Serviceberry	377	7435	1.6
L-M	Carya glabra	Pignut Hickory	21	3641	1.6
L-M	Carya ovata	Shagbark Hickory	65	13150	0.6
L-M	Cercis canadensis	Eastern Redbud	394	7406	1.8
L-M	Juglans nigra	Black Walnut	169	32816	1.4
L-M	Liriodendron tulipifera	Tuliptree	165	22052	0.8
L-M	Malcura pomnifera 	Osage Orange	27	1893	1.2
L-M	Magnolia acuminata	Cucumber Tree	8	1215	1.6
L-M	Nyssa sylvatica 	Black Gum	95	5811	0.6
L-M	Ostrya virginiana	Eastern hophornbeam	477	41914	1.8
L-M	Platanus occidentalis	Sycamore	117	24083	0.8
L-M	Picea glauca	White Spruce	142	5558	1.6
L-M	Populus deltoides	Eastern Cottonwood	279	53823	1.4
L-M	Quercus alba	White Oak	183	31321	1.6
L-M	Quercus bicolor	Swamp White Oak	1252	77294	0.4
L-M	Quercus imbricaria	Shingle Oak	72	4083	1.2
L-M	Quercus palustris 	Pin Oak	215	25422	0.4
L-M	Quercus velutina	Black Oak	26	1696	0.8
L-M	Robinia pseudoacacia	Black Locust	100	16176	0.8
L-M	Tilia americana	American Basswood	424	56169	1.2
L-M	Ulmus rubra	Slippery Elm	33	3728	0.4
L-M	Ulmus americana	American Elm	321	69330	0.6
L-L	Acer pensylvanicum	Striped Maple	61	677	1.6
L-L	Carya cordiformis	Bitternut Hickory	1	157	1.8
L-L	Cornus florida	Flowering Dogwood	13	260	1.2
L-L	Diospyros Virginiana	Persimmion	11	972	0.8
L-L	Juniperus virginana	Eastern Redceder	4	143	1.2
L-L	Morus rubra	Red Mulberry	9	825	0.8
L-L	Sassafras albidum 	Sassafras	3	261	0.8
